District,Date,Sox,Nox,PM10,NH3,AQI
Warangal Urban,1-Jun,16.5,28.4,86,58,86
Warangal Urban,1-Jul,8.6,33.9,73,55,73
Warangal Urban,1-Aug,8.8,36.9,79,52,79
Warangal Urban,1-Sep,8.7,36.3,81,52,81
Warangal Urban,1-Oct,8.9,39.2,86,57,86
Warangal Urban,1-Nov,10.2,45.1,98,52,96
Warangal Urban,1-Dec,10,43.2,86,58,86
Warangal Urban,1-Jan,10.1,51.2,88,64,88
Warangal Urban,1-Feb,10,56.9,90,63,90
Warangal Urban,1-Mar,10.1,61.4,90,67,90
Warangal Urban,1-Apr,10.1,56.3,94,70,94
Warangal Urban,1-May,9.6,55.7,92,70,92
Warangal Urban,1-Jun,8.5,46.8,88,64,88
Warangal Urban,1-Jul,8.4,46.4,89,66,89
Warangal Urban,1-Aug,8,45,82,68,82
Warangal Urban,1-Sep,7.9,48.9,76,64,76
Warangal Urban,1-Oct,7.3,50.9,92,63,91
Warangal Urban,1-Nov,7,50,88,64,88
Warangal Urban,1-Dec,6.5,52,90,72,90
Warangal Urban,1-Jan,6.1,48.3,32,63,92
Warangal Urban,1-Feb,6.1,50.1,88,73,88
Warangal Urban,1-Mar,5.6,38.6,65,46,65
Warangal Urban,1-Apr,6.8,30.1,16,10,38
Warangal Urban,1-May,5.9,33.5,29,27,41
Warangal Urban,1-Jun,6.8,31.4,33,31,42
Warangal Urban,1-Jul,8.9,44.3,23,32,57
Warangal Urban,1-Aug,8,45,67,33,67
Warangal Urban,1-Sep,6.3,38.9,30,28,51
Warangal Urban,1-Oct,6.9,36.5,54,33,59
Warangal Urban,1-Nov,6.8,59,84,70,85
Warangal Urban,1-Dec,7.9,37.5,59,40,59
Warangal Urban,1-Jan,6.7,45,78,68,78
Warangal Urban,1-Feb,6.8,46.4,85,71,85
Warangal Urban,1-Mar,7.7,37.2,47,41,57
Warangal Urban,1-Apr,6.3,33.2,,41,58
Warangal Urban,1-May,5.7,32.6,57,30,43
Warangal Urban,1-Jun,6.6,32,31,28,44
Warangal Urban,1-Jul,5.2,47.4,32,42,86
Warangal Urban,1-Aug,4.4,28.7,87,42,40
Warangal Urban,1-Sep,6.4,37.6,37,43,64
Warangal Urban,1-Oct,5.8,32.3,64,42,49
Warangal Urban,1-Nov,5,26,48,36,58
Warangal Urban,1-Dec,5.5,30.9,58,36,55
Warangal Urban,1-Jan,4.8,28.9,55,34,58
Warangal Urban,1-Feb,6,27.2,63,39,64
Warangal Urban,1-Mar,5.7,26.4,49,39,49
Warangal Urban,1-Apr,6,25.4,66,40,66
Warangal Urban,1-May,6,28,53,40,54
Warangal Urban,1-Jun,5.8,29.5,72,39,72
Warangal Urban,1-Jul,6.4,29.5,38,37,40
Warangal Urban,1-Aug,5.5,28.9,43,25,43
