,Date,No. of Diesel cars
1224,5/21/2022,876
1225,5/22/2022,439
1226,5/23/2022,422
1227,5/24/2022,824
1228,5/25/2022,909
1229,5/26/2022,1060
1230,5/27/2022,1099
1231,5/28/2022,1122
1232,5/29/2022,617
1233,5/30/2022,591
1234,5/31/2022,1505
1235,6/1/2022,472
1236,6/2/2022,391
1237,6/3/2022,322
1238,6/4/2022,762
1239,6/5/2022,574
1240,6/6/2022,437
1241,6/7/2022,668
1242,6/8/2022,526
1243,6/9/2022,487
1244,6/10/2022,0
1245,6/11/2022,0
1246,6/12/2022,0
1247,6/13/2022,479
1248,6/14/2022,918
1249,6/15/2022,928
1250,6/16/2022,1025
1251,6/17/2022,1121
1252,6/18/2022,1071
1253,6/19/2022,527
1254,6/20/2022,535
1255,6/21/2022,935
1256,6/22/2022,952
1257,6/23/2022,1139
1258,6/24/2022,1273
1259,6/25/2022,1212
1260,6/26/2022,560
1261,6/27/2022,532
1262,6/28/2022,998
1263,6/29/2022,1108
1264,6/30/2022,1830
1265,7/1/2022,500
1266,7/2/2022,421
1267,7/3/2022,332
1268,7/4/2022,713
1269,7/5/2022,607
1270,7/6/2022,730
1271,7/7/2022,739
1272,7/8/2022,277
1273,7/9/2022,538
1274,7/10/2022,0
1275,7/11/2022,0
1276,7/12/2022,0
1277,7/13/2022,695
1278,7/14/2022,769
1279,7/15/2022,859
1280,7/16/2022,878
1281,7/17/2022,439
1282,7/18/2022,441
1283,7/19/2022,789
1284,7/20/2022,744
1285,7/21/2022,667
1286,7/22/2022,647
1287,7/23/2022,681
1288,7/24/2022,372
1289,7/25/2022,379
1290,7/26/2022,637
1291,7/27/2022,627
1292,7/28/2022,686
1293,7/29/2022,1084
1294,7/30/2022,1486
1295,7/31/2022,1087
1296,8/1/2022,496
1297,8/2/2022,594
1298,8/3/2022,645
1299,8/4/2022,746
1300,8/5/2022,341
1301,8/6/2022,729
1302,8/7/2022,825
1303,8/8/2022,333
1304,8/9/2022,697
1305,8/10/2022,0
1306,8/11/2022,0
1307,8/12/2022,0
1308,8/13/2022,602
1309,8/14/2022,280
1310,8/15/2022,22
1311,8/16/2022,230
1312,8/17/2022,555
1313,8/18/2022,686
1314,8/19/2022,694
1315,8/20/2022,721
1316,8/21/2022,390
1317,8/22/2022,355
1318,8/23/2022,643
1319,8/24/2022,703
1320,8/25/2022,739
1321,8/26/2022,736
1322,8/27/2022,694
1323,8/28/2022,319
1324,8/29/2022,561
1325,8/30/2022,1245
1326,8/31/2022,1124
1327,9/1/2022,204
1328,9/2/2022,497
1329,9/3/2022,723
1330,9/4/2022,738
1331,9/5/2022,351
1332,9/6/2022,967
1333,9/7/2022,747
1334,9/8/2022,502
1335,9/9/2022,648
1336,9/10/2022,0
1337,9/11/2022,0
1338,9/12/2022,0
1339,9/13/2022,554
1340,9/14/2022,696
1341,9/15/2022,724
1342,9/16/2022,737
1343,9/17/2022,730
1344,9/18/2022,325
1345,9/19/2022,309
1346,9/20/2022,581
1347,9/21/2022,701
1348,9/22/2022,791
1349,9/23/2022,779
1350,9/24/2022,733
1351,9/25/2022,341
1352,9/26/2022,503
1353,9/27/2022,1121
1354,9/28/2022,1522
1355,9/29/2022,1703
1356,9/30/2022,2241
1357,10/1/2022,199
1358,10/2/2022,660
1359,10/3/2022,708
1360,10/4/2022,286
1361,10/5/2022,572
1362,10/6/2022,1109
1363,10/7/2022,314
1364,10/8/2022,551
1365,10/9/2022,509
1366,10/10/2022,0
1367,10/11/2022,0
1368,10/12/2022,0
1369,10/13/2022,0
1370,10/14/2022,0
1371,10/15/2022,0
1372,10/16/2022,0
1373,10/17/2022,0
1374,10/18/2022,0
1375,10/19/2022,0
1376,10/20/2022,0
1377,10/21/2022,0
1378,10/22/2022,0
1379,10/23/2022,0
1380,10/24/2022,0
1381,10/25/2022,0
1382,10/26/2022,0
1383,10/27/2022,0
1384,10/28/2022,0
1385,10/29/2022,0
1386,10/30/2022,0
1387,10/31/2022,0
1388,11/1/2022,410
1389,11/2/2022,806
1390,11/3/2022,699
1391,11/4/2022,418
1392,11/5/2022,636
1393,11/6/2022,980
1394,11/7/2022,405
1395,11/8/2022,729
1396,11/9/2022,255
1397,11/10/2022,0
1398,11/11/2022,0
1399,11/12/2022,0
1400,11/13/2022,0
1401,11/14/2022,0
1402,11/15/2022,0
1403,11/16/2022,0
1404,11/17/2022,0
1405,11/18/2022,0
1406,11/19/2022,0
1407,11/20/2022,0
1408,11/21/2022,0
1409,11/22/2022,0
1410,11/23/2022,0
1411,11/24/2022,0
1412,11/25/2022,0
1413,11/26/2022,0
1414,11/27/2022,0
1415,11/28/2022,0
1416,11/29/2022,0
1417,11/30/2022,0
1418,12/1/2022,549
1419,12/2/2022,703
1420,12/3/2022,684
1421,12/4/2022,711
1422,12/5/2022,744
1423,12/6/2022,447
1424,12/7/2022,709
1425,12/8/2022,680
1426,12/9/2022,264
